Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Obesity,Undernourished
Belarus,0,35.3817,4.8075,1.5772,0.5151,26.7569,2.0644,0,28.8972,7.8662,0,0.0519,0.2316,0.4392,0,0.016,0.1957,0.8385,1.0462,18.2119,26.6,<2.5
Belgium,0,32.4195,1.3531,1.1703,0.6188,23.7977,6.5057,0,34.135,12.6234,0,0,0.1379,0.5226,0.0353,0.0994,0.077,0.0834,1.2056,19.3504,24.5,<2.5
Belize,0,34.1312,3.051,0.6759,0.4155,26.727,2.5053,0,32.4941,9.8102,0,0.1984,0.031,1.4511,0.3783,0.0496,0.031,0.8062,0.3845,19.3538,22.4,7.5
Benin,0,9.4591,4.6952,0.2064,0.8599,44.3891,1.2469,0,39.1436,0.4816,0,0.0258,0.0946,7.3007,0.6535,2.597,1.0835,0.1118,1.9176,24.8775,8.2,10.1
Bolivia,0,51.5653,2.7296,1.5174,0.1831,20.3105,3.2703,0,20.4239,4.1685,0,0.0436,0.1395,1.3604,0.2093,0.1483,0.4796,0.7849,0.7413,12.3485,18.7,17.1
Bosnia and Herzegovina,0,34.3435,3.6588,0.8354,0.3049,26.7394,11.2629,0,22.8552,2.4453,0,0.0915,0.1037,0.9208,0.2012,2.2196,0.1342,2.4819,0.9574,13.2996,19.4,<2.5
Botswana,0,20.4393,7.183,0.2697,0.3622,33.3874,8.5241,0,29.8343,4.131,0,0.1927,0.2081,1.1715,0.1156,0.5472,0.1927,0.7399,0.1541,22.3815,16.1,26.4
Brazil,0,39.1435,1.1278,0.7706,0.1886,25.5177,5.1654,0.0481,28.0382,4.3627,0,0,0.0763,1.7097,0.2528,0.008,0.1204,0.1164,0.1766,21.2153,22.3,<2.5
Bulgaria,0,36.4979,1.8485,1.2201,0.3404,23.3702,7.9698,0,28.7532,8.0274,0,0.0262,0.2356,1.6547,0.0471,0.6179,0.0367,0.1885,0.3404,17.5787,27.4,3.6
Burkina Faso,0,10.8108,10.5524,0.4061,0.3692,42.8814,2.1636,0,32.8164,0.5981,0,0.0148,0.1255,11.9406,0.5391,0.096,0.0369,0.0222,0.2658,19.1774,4.5,20
Cabo Verde,0,31.8782,5.1318,0.8468,0.5256,28.5349,6.2851,0,26.7977,4.2923,0,0.1679,0.0803,1.4819,0.4526,0.9709,0.0949,0.4161,0.1752,18.6656,10.6,12.6
Cambodia,0,30.6309,9.4179,0.5639,4.8461,31.6519,0.6248,0.0762,22.1885,0.8839,0,0.1372,0.1372,8.2902,0.2743,0.5029,0.3657,0.061,0.3048,11.2313,3.5,16.4
Cameroon,0,9.6949,6.9796,0.0746,0.9051,45.0125,1.1197,0,36.2136,0.7838,0,0.028,0.084,9.7509,0.8491,0.7465,0.5319,0.1213,0.1026,23.2155,9.5,9.9
Canada,0,30.9874,1.544,1.2437,0.4244,27.4817,3.8812,0,34.4376,9.7895,0,0.062,0.0065,2.36,0.1991,0.0979,0.0588,0.1795,1.211,20.4733,31.3,<2.5
Central African Republic,0,31.4597,2.7645,0.1122,0.5509,32.0514,1.7342,0,31.3271,2.8767,0,0.0102,0.3468,7.0183,0.4794,0.0102,1.0609,0.0408,0,19.4838,6.3,59.6
Chad,0,24.711,7.986,0.0701,0.648,33.24,4.4308,0,28.9142,3.1261,0,0.0088,0.7268,16.7863,0.5342,0,0.1926,0.0263,0,7.5131,4.8,37.5
Chile,0,52.7378,3.1847,1.4085,0.5204,18.1525,5.0798,0,18.9162,5.2608,0,0.0339,0.0396,1.1596,0.2093,0.0283,0.181,0.4356,0.7241,10.844,28.8,2.7
China,0,52.6527,2.5989,2.3066,0.9817,19.7642,2.2156,0.0179,19.4623,3.4468,0.0097,0.1517,0.4784,1.8351,0.0234,0.0676,0.0565,0.9362,1.7979,10.659,6.6,8.5
Colombia,0,32.8004,1.7347,1.7819,0.3717,30.0094,5.9535,0,27.3483,1.7819,0,0.0177,0.118,0.9854,0.1652,0.1239,0.2832,0.2655,0.5251,23.0824,22.1,4.8
Congo,0,22.6507,2.7016,0.1377,1.854,38.4151,0.678,0,33.5628,0.339,0,0.053,0.339,5.0429,0.1483,0.0106,1.0806,0.5191,0.0212,26.0091,8.4,40.3
Costa Rica,0,26.202,1.6733,1.1492,0.9286,30.1876,6.67,0.0138,33.1756,6.1,0,0.0138,0.0552,1.0389,0.2436,0.0414,0.0506,0.4045,0.354,24.8736,25.7,4.8
Cote d'Ivoire,0,7.9062,4.9709,0.4271,1.2268,45.529,0.5634,0,39.3767,0.2726,0,0.0091,0.2545,4.8891,0.1,0.6089,1.2359,1.9357,2.3355,27.7354,9,19
Croatia,0,40.8664,2.9565,0.9476,0.5633,21.2761,8.7951,0,24.5949,7.4457,0,0,0.131,1.8123,0.0175,0.0655,0.0393,2.6726,0.6987,11.7123,27.1,<2.5
Cuba,0,41.9258,4.4779,1.4788,0.2638,25.2708,4.7695,0,21.8134,3.2213,0,0.0139,0.1458,2.6937,0.6248,0.0417,0.3749,0.1458,0.0069,14.5446,26.7,<2.5
Cyprus,0,31.5084,3.4616,1.0044,0.7309,29.67,6.6945,0,26.9303,1.8698,0,0.1614,0.1031,2.1164,0.0628,0.0538,0.0404,1.9236,0.8609,19.7381,22.6,5.6
Czechia,0,33.7897,1.1998,0.8222,0.3,25.1932,5.6463,0,33.0487,9.7011,0,0.0212,0.0776,0.4941,0.0353,0.0635,0.0565,0.9563,0.4164,21.2267,28.5,<2.5
Denmark,0,44.6539,1.4741,1.7484,1.1313,15.3926,8.8142,0,26.7853,14.2498,0,0,0.2285,0.7161,0.0152,0.1752,0.0533,1.6874,1.1846,8.4752,21.3,<2.5
Djibouti,0,16.2275,4.3977,0.2494,0.291,39.4796,3.8573,0,35.4976,1.3966,0,0.1413,0.1912,0.4323,0.557,0.3159,0.0333,0.5653,0.4157,31.449,12.2,18.9
Dominica,0,40.6589,1.4913,0.3619,1.6536,24.4977,7.232,0,24.1046,3.8063,0,0.1123,0.1373,4.8172,0.1373,0.468,0.4867,1.7846,0.0312,12.3237,28.2,6.2
Dominican Republic,0,22.6497,1.4528,1.1248,0.2484,38.4572,4.1194,0,31.9478,2.2261,0,0.0422,0.1875,2.9103,0.1921,0.0609,0.0797,0.2906,0.0703,25.8881,26.9,9.5
Ecuador,0,29.6736,3.6672,1.0246,0.2519,29.5952,6.0803,0,29.7073,4.7198,0,0.028,0.1008,0.8566,0.0616,0.0392,0.084,0.1848,0.0784,23.5541,19.3,7.9
Egypt,0,22.4657,13.4988,0.8448,1.32,35.3925,3.6343,0.0704,22.7738,3.4231,0,0.0088,0.2992,4.4615,0.1584,0.2376,0.1936,0.0792,0.2992,13.6132,31.1,4.5
El Salvador,0,29.9579,8.1958,1.6034,0.4514,28.5803,8.1491,0,23.0618,6.3901,0,0.1012,0.0545,5.0669,0.5837,0.0311,0.1401,0.3269,0.1167,10.2506,22.7,9
Estonia,0,43.6469,2.8982,1.583,0.2818,17.4503,14.275,0,19.8648,6.5339,0,0.0188,0.1174,0.3664,0.0658,0.1926,0.0892,2.7855,1.2495,8.4457,23.8,2.9
Eswatini,0,31.9217,12.0023,0.4718,0.3682,29.8619,5.4315,0,19.9423,3.1415,0,0.1151,0.2762,3.4062,0.2071,0.817,0.3222,0.0575,0.6559,10.9436,13.5,20.6
Ethiopia,0,15.3459,11.3929,0.2238,0.0559,39.3623,5.1091,0,28.5102,1.4358,0,0,0.1678,2.6851,2.5545,2.6851,0.8018,0.0186,0.7459,17.4156,3.6,20.6
Fiji,0,28.4702,1.5114,0.5773,1.4694,30.2126,1.7948,0,35.9642,7.6883,0,0.0262,0.0945,8.9635,0.2991,0.1312,0.3569,0.4408,0.1469,17.8168,30,3.7
Finland,0,53.3899,1.7872,0.8524,0.9384,13.7674,11.8155,0,17.4492,6.3787,0,0.1146,0.0788,0.6017,0.0179,0.043,0.0537,0.7844,0.5157,8.8607,24.9,<2.5
France,0,41.3458,1.4334,0.9894,0.8752,20.3051,7.9533,0,27.0977,9.1996,0,0.0159,0.1554,0.685,0.0254,0.0285,0.0412,0.6279,0.853,15.4658,23.2,<2.5
French Polynesia,0,39.2378,3.7271,0.822,1.5842,25.1796,3.8827,0,25.5667,4.6648,0,0.2913,0.1277,4.7566,0.0399,0.02,0.0758,1.269,0.3192,14.0024,NA,4.2
Gabon,0,32.6724,4.1074,0.1956,2.0359,31.579,2.2937,0,27.1159,0.7379,0,0.1422,0.5957,8.9438,0.0089,0,0.5779,0.7112,0.0178,15.3805,13.4,10.5
Gambia,0,7.3906,4.9416,0.2113,1.3488,44.0701,2.8468,0,39.1907,0.2548,0,0.0622,0.0311,12.4751,0.0311,0,0.0124,0.0995,0.2362,25.9883,8.7,10.2
Georgia,0,32.5075,4.5695,1.1781,0.4284,25.125,9.0818,0,27.1098,7.2612,0,0.1071,0.1,0.6854,0,0.0714,0.0928,2.7774,1.1566,14.8579,23.3,7.9
Germany,0,37.0546,1.1778,1.0462,0.7019,22.3373,6.4289,0,31.2533,11.0084,0,0,0.0472,0.8909,0.0101,0.0844,0.0607,0.6614,1.6739,16.8163,25.7,<2.5
Ghana,0,10.8493,5.6789,0.3472,2.7774,43.7694,0.4216,0,36.1563,0.806,0,0.0496,0.1736,10.9113,0.3968,1.2771,2.0087,0,0.0868,20.4464,9.7,5.5
Greece,0,24.533,1.328,0.7749,0.3245,32.6302,8.3355,0,32.0738,1.6989,0,0.0298,0.1424,1.8413,0.0795,0.0497,0.0431,0.7749,1.881,25.5332,27.4,<2.5
Grenada,0,36.0418,1.4883,1.444,1.2856,29.8671,4.8195,0,25.0539,2.4889,0,0.1267,0.0823,3.3186,0.19,0.8803,0.0697,0.874,0.1393,16.8841,20.2,NA
Guatemala,0,22.5132,9.3956,2.6186,0.1482,36.0672,3.7385,0,25.5188,1.7622,0,0.0247,0.0988,3.7879,0.5764,0.1235,0.0247,0.3788,0.9305,17.8113,18.8,15.2
Guinea,0,8.974,4.7086,0.3125,0.5014,45.0516,1.4896,0,38.9625,0.7557,0,0.0363,0.1163,6.6633,0.1744,0,0.3343,0.2616,0.0073,30.6133,6.6,16.5
Guinea-Bissau,0,18.885,2.8828,0.1509,0.0715,39.5409,1.8027,0,36.6662,0.6274,0,0.0556,0.1271,1.7154,0.0794,0,0.1985,0.2224,3.3116,30.3288,8.2,28
Guyana,0,35.2968,2.9072,0.334,1.169,29.915,7.6287,0,22.7493,1.002,0,0.0911,0.0531,9.3518,0.3871,0.8653,0.129,0.9261,0.8805,9.0633,19.2,8.1
Haiti,0,20.0406,5.7517,0.1353,0.3722,39.6527,1.8608,0.0226,32.1642,1.7481,0,0.0564,0.1353,3.3157,0.8458,0,0.5526,0.3609,0,25.1494,20.5,49.3
Honduras,0,24.5716,8.3159,0.7448,0.1302,33.7841,5.2281,0,27.2254,2.6611,0,0.0651,0.0868,0.5857,0.4194,0.0289,0.0217,0.3833,0.1012,22.8722,19.4,12.9
Hungary,0,39.0548,1.2735,1.2018,0.1954,21.3301,5.2308,0,31.7135,12.3082,0,0,0.0033,0.3583,0.0391,0.1107,0.0391,0.7393,0.0456,18.0699,28.6,<2.5
Iceland,0,48.0431,4.3005,0.8991,1.6872,16.2281,11.0046,0,17.8376,7.1086,0,0.1199,0.1349,0.8931,0.012,0.1079,0.03,1.5254,0.5005,7.4053,23.1,<2.5
India,0,16.9599,5.1196,0.7653,0.3783,34.7466,6.4919,0,35.5384,7.4859,0,0,0.0264,3.7386,1.1084,0.8005,0.0792,0.0176,0.5014,21.7804,3.8,14.5
Indonesia,0,12.7959,6.6871,1.4549,2.5122,41.8218,0.7049,0.0633,33.9599,0.7049,0,0,0.1627,7.3649,0.0452,0.3886,0.3072,0.497,0.3976,24.0918,6.9,8.3
Iran (Islamic Republic of),0,23.0997,5.5867,1.3259,0.6114,34.228,2.6389,0,32.5096,6.0372,0,0,0.1416,0.4055,0.2961,0.2124,0.1738,0.0451,4.9044,20.2935,25.5,4.9
Iraq,0,14.6491,6.2761,1.9023,0.1441,39.2492,1.7366,0,36.0426,3.8118,0,0.0432,0.0288,0.9584,0.1369,0.0576,0.0288,0.7278,0.6341,29.6152,27.4,29
Ireland,0,37.2166,2.7091,0.9231,0.9372,23.3563,6.5464,0,28.3112,8.6472,0,0.0283,0.0707,0.863,0.0389,0.0707,0.0531,1.5137,0.8417,16.1839,26.9,<2.5
Israel,0,23.9679,1.6083,0.87,0.5746,36.077,4.8443,0,32.0579,1.2809,0,0.0257,0.0867,3.0787,0.1605,0.061,0.0353,0.8315,1.3194,25.1782,26.7,<2.5
Italy,0,30.5861,1.3598,1.0529,0.7327,28.6124,5.9146,0,31.7413,5.3931,0,0.0198,0.0627,0.4753,0.0858,0.0099,0.0297,0.1056,1.4324,24.127,22.9,<2.5
Jamaica,0,32.6023,2.2375,0.3242,1.2204,27.6379,5.7081,0,30.2696,6.1721,0.0064,0.1081,0.1462,3.4389,0.089,1.4302,0.2161,0.3496,0.1398,18.1732,24.4,8
Japan,0,27.2847,1.8642,3.1241,3.2666,31.0815,3.2096,0.0057,30.1635,1.9098,0.0057,0.0285,0.1026,2.9816,0.0342,0.1425,0.0513,0.8266,0.6499,23.4308,4.4,<2.5
Jordan,0,18.0744,3.7391,0.5224,0.3189,38.2052,3.6512,0,35.4889,1.8696,0,0.0385,0.088,2.5074,0.2584,0.1155,0.055,0.5994,0.9018,29.0553,33.4,12.2
Kazakhstan,0,33.0898,1.7405,0.8975,0.1321,27.1106,9.5031,0,27.5264,3.0343,0,0.0389,0.1748,0.6488,0.0078,0.0272,0.1088,0.9946,0.7654,21.7258,21.3,<2.5
Kenya,0,24.2986,9.9701,0.3438,0.2773,33.5588,8.4951,0,23.0565,1.8742,0,0,0.1885,1.6746,0.8429,0.0555,0.2551,0.0665,0.5989,17.5003,6,29.4
Kiribati,0,16.7654,1.956,0.265,3.0833,39.9239,0.2553,0,37.7513,0.7467,0,0.0434,0.0193,28.5639,0,0.0145,0.2409,0.0193,0.8094,7.2939,45.6,2.7
Korea North,0,20.1888,7.2234,1.6911,0.5375,40.1941,0.4195,0,29.7456,0.0262,0,0.0131,0.0918,0.9832,0.6555,0,0.3146,0.0393,0.0262,27.5957,7.1,47.8
Korea South,0.0976,31.2343,1.8403,1.3524,1.9147,30.8253,1.1386,0,31.5968,4.2523,0.0511,0,0.1534,1.8914,0.0186,0.0372,0.0325,0.237,1.2036,23.7197,4.9,<2.5
Kuwait,0,29.4629,3.0847,2.3242,0.3732,30.9652,5.2766,0,28.5134,2.1588,0,0.1086,0.189,1.3416,0.1984,0.5385,0.0472,1.5353,1.181,21.215,37,2.8
Kyrgyzstan,0,39.3001,4.0964,0.8655,0.0895,21.84,14.2068,0,19.6015,3.4472,0,0.0448,0.3358,0.0895,0.194,0.097,0.1865,2.1564,1.5893,11.461,15.4,7.1
Lao People's Democratic Republic,0,36.6589,9.0989,0.4974,1.6871,30.3687,0.2243,0.1853,21.2795,3.9594,0,0.0878,0.2243,5.6076,0.1365,1.0435,0.3121,0.078,0.0683,9.762,4.5,16.5
Latvia,0,40.2366,1.5314,1.343,0.8819,20.0762,7.8613,0,28.0697,10.443,0,0.0361,0.1122,0.6334,0,0.0321,0.1323,2.0044,0.8819,13.7943,25.7,<2.5
Lebanon,0,17.5385,2.253,0.329,0.3681,38.5512,4.3553,0,36.6049,2.1637,0,0.039,0.0502,2.8385,0.2175,0.0836,0.1171,0.725,2.911,27.4593,31.3,11
Lesotho,0,22.1481,18.3763,0.2415,0.253,37.3505,2.4149,0,19.2158,0.529,0,0.046,0.345,0.782,0.4025,0.391,0.184,0.1495,0.0345,16.3523,13.5,13.1
Liberia,0,13.4279,3.3592,0.2528,0.3702,42.9113,0.2438,0,39.4347,0.4154,0,0.0361,0.1355,1.5803,0.0361,0,0.307,0.1174,0.3883,36.4186,8.6,37.2
Lithuania,0,46.5182,1.7819,1.9226,1.238,18.2837,5.4302,0,24.8254,9.388,0,0.0094,0.1125,0.8441,0.2345,0.197,0.061,0.3423,0.9238,12.7128,28.4,<2.5
Luxembourg,0,48.7635,1.8437,1.6645,0.6987,18.1409,7.2286,0,21.6598,6.4786,0,0.0658,0.0658,0.6402,0.0146,0.1646,0.0329,3.3838,0.128,10.6855,24.2,<2.5
Madagascar,0,30.6513,10.0681,0.3406,0.745,32.3968,4.4274,0.0213,21.3496,1.7454,0,0.0213,0.298,1.5113,0.3193,0.2554,0.9153,0.1916,0.2129,15.8791,4.5,44.4
Malawi,0,33.5169,13.0891,0.2753,0.6672,32.7227,0.4024,0,19.3265,2.6263,0,0.0106,0.2542,5.6232,0.7519,0.0529,1.3555,0.0318,0.2012,8.4189,4.7,17.5
Malaysia,0,26.9764,2.2933,2.7596,1.8599,33.2419,1.2289,0,31.6399,1.4813,0,0.0713,0.0329,1.7502,0.0658,0.6584,0.0329,0,0.3731,27.174,15.3,2.5
Maldives,0,35.5758,4.5092,3.2756,8.4068,21.2398,7.3909,0,19.6018,4.8409,0,0.4561,0,1.3683,0.0518,1.1713,0.0622,1.7207,4.9756,4.9549,7.9,10.3
Mali,0,23.1376,12.0873,0.1327,0.4065,33.2172,9.7146,0,21.3041,1.2195,0,0.0249,0.3152,3.3765,0.5475,0.1244,0.1327,0.0332,1.3357,14.1945,7.1,6.3
Malta,0,40.0397,4.8786,1.3878,1.3074,21.3972,9.3298,0,21.6594,6.6557,0,0.0169,0.0508,1.4978,0.0804,0.0804,0.0296,2.6783,1.172,9.3975,31,<2.5
Mauritania,0,23.15,4.3092,0.4337,0.5369,32.8423,8.646,0,30.0819,1.7485,0,0.0688,0.2822,0.5025,0.3373,0,0.0207,0.1652,0,26.9567,11.3,10.4
Mauritius,0,19.6528,3.2471,0.7355,1.0457,37.4293,2.8418,0,35.0477,1.4559,0,0.1001,0.055,1.566,0.2502,0.3452,0.025,0.9856,0.2702,29.9945,11.5,6.5
Mexico,0,36.9874,6.4604,2.2807,0.4661,26.9968,4.3433,0,22.4653,3.2525,0,0.005,0.2182,1.185,0.238,0.2529,0.0248,0.2033,0.7437,16.3419,28.4,3.6
Mongolia,0,57.9241,2.7445,0.593,0.0315,13.2819,9.0628,0,16.3622,5.5153,0,0.0525,0.6717,0.1259,0.0105,0.0052,0.042,1.6373,0.0787,8.2231,19.6,13.4
Montenegro,0,47.5633,3.7312,1.1566,0.3473,17.8429,12.5363,0,16.8226,3.8887,0,0.1003,0.0752,0.5837,0.0788,0.043,0.0251,2.5531,0.8415,8.6332,24.9,<2.5
Morocco,0,22.4216,7.1539,1.1517,1.2329,35.5703,2.2296,0,30.2401,3.5807,0,0.0074,0.2289,0.7309,0.1477,0.3987,0.096,0.1993,1.9048,22.9457,25.6,3.4
Mozambique,0,18.4693,8.8101,0.5537,0.849,38.7598,2.0795,0,30.4786,1.1197,0,0.0369,0.1107,1.1936,0.7014,0.0246,0.849,0.0984,0.8244,25.5199,6,27.9
Myanmar,0,44.1805,3.8192,0.9251,2.5441,24.5218,1.2814,0.0813,22.6465,3.0066,0,0.0375,0.1563,5.1194,0.6938,0.5313,0.0625,0.025,0.2688,12.7453,5.7,10.6
Namibia,0,24.5145,6.802,0.2718,0.6075,33.6824,4.548,0,29.5739,3.3171,0,0.0959,0.2078,0.8792,0.4316,0.4236,0.5915,0.5995,0.1199,22.9078,15,27.3
Nepal,0,14.8922,7.1664,0.4361,0.1563,38.9666,5.4139,0.1892,32.7794,3.3076,0,0.0082,0.1563,0.4525,0.5513,1.1437,0.1975,0.2468,0.5019,26.2136,3.8,8.7
Netherlands,0,41.0061,1.2702,1.4787,0.7451,20.4355,10.3934,0,24.6708,6.6484,0,0,0.027,0.3591,0.0309,0.1235,0.0849,0.0541,1.498,15.8449,23.1,<2.5
New Caledonia,0,33.8783,5.0979,1.0439,0.8385,28.1391,5.0476,0,25.9548,3.6599,0,0.2851,0.0755,3.3036,0.0293,0.0629,0.0335,1.3961,0.2557,16.8532,NA,7.1
New Zealand,0,48.0673,1.3271,1.2111,0.6485,16.462,4.2948,0,27.9892,13.9753,0,0,0.0601,2.0228,0.0773,0.0859,0.0687,0.0945,1.3357,10.2689,32,<2.5
Nicaragua,0,25.6004,9.2369,1.008,0.4174,32.3254,6.5123,0,24.8995,2.3309,0,0.1102,0.1102,1.9214,0.4646,0.0079,0.1024,0.4252,0.0315,19.3952,21.8,17
Niger,0,14.6101,12.436,0.058,0.1353,39.714,4.3193,0,28.7276,2.6573,0,0.0097,0.1836,13.4216,1.4398,0.3479,0.0483,0.029,0,10.5904,4.7,16.5
Nigeria,0,7.502,7.1082,0.5755,0.5957,45.8703,0.4645,0,37.8838,0.8078,0,0.0101,0.0909,4.3922,0.4241,0.4746,1.2621,0.0404,0.2322,30.1494,7.8,13.4
North Macedonia,0,26.1829,1.9013,0.7305,0.2371,31.519,4.8476,0,34.5815,7.1263,0,0.0435,0.15,2.0174,0.1355,0.4886,0.0774,1.7078,1.1708,21.6642,23.9,3.2
Norway,0,37.9203,1.9601,1.0645,1.5545,23.3517,7.4043,0,26.7446,6.4445,0,0.3244,0.0541,1.7032,0.0912,0.0473,0.0473,1.6796,0.8888,15.4642,25,<2.5
Oman,0,32.6317,3.7744,1.4422,0.929,27.7529,9.6407,0,23.8291,2.3712,0,0.0325,0.2144,1.1174,0.1689,0.7276,0.039,1.0979,0.6107,17.4495,22.9,6.8
Pakistan,0,28.3212,4.2124,0.6203,0.0818,25.3766,11.5125,0.0613,29.8138,8.9701,0,0.0068,0.1431,1.0906,0.2726,0.2249,0.0341,0.0204,0.1909,18.8603,7.8,20.3
Panama,0,35.0603,3.8355,0.8991,0.8614,24.7297,5.7281,0,28.8858,9.1864,0,0.132,0.1823,1.4273,0.1509,0.0377,0.0566,1.0375,0.4339,16.2412,22.5,10
Paraguay,0,30.0419,4.9807,1.5622,0.1742,30.7061,3.7069,0,28.8279,3.8811,0,0.0272,0.2558,2.0576,0.2123,0.0218,0.5552,0.5334,0.0163,21.2672,19,10.7
Peru,0,24.8643,5.5879,2.1206,1.9497,34.0503,5.608,0,25.8192,1.1055,0,0.0302,0.4322,2.5628,0.603,0.0704,0.6834,0.4523,0.2312,19.6482,19.1,9.7
Philippines,0,48.6477,3.4748,1.0544,1.6045,21.3258,0.5684,0.0183,23.3061,7.3714,0,0.0275,0.2751,2.2371,0.055,0.0642,0.22,0.3576,0.7701,11.9281,6,13.3
Poland,0,46.0532,1.6183,0.7141,0.4851,17.7236,5.86,0,27.5457,12.3719,0,0,0.0078,0.4967,0.031,0.0427,0.1087,0.0737,0.4385,13.9747,25.6,<2.5
Portugal,0,36.8015,2.1808,0.7993,1.0267,24.1094,4.5442,0,30.5381,9.5983,0,0.0138,0.1378,0.4203,0.0689,0.0413,0.0586,1.354,0.7648,18.0803,23.2,<2.5
Republic of Moldova,0,36.3008,2.557,1.5517,0.6921,24.1277,7.5326,0,27.2383,6.8551,0,0.0656,0.1238,0.2841,0.0291,0.0146,0.0874,0.8305,0.1093,18.8388,20.1,NA
Romania,0,35.4253,2.5519,1.5914,0.1994,23.3007,10.6349,0,26.2963,6.8987,0,0.0366,0.1221,0.5495,0.0407,0.4965,0.1099,0.8506,0.6797,16.512,24.5,<2.5
Russian Federation,0,38.7793,1.6511,1.9603,0.9415,22.5416,6.8453,0,27.2809,7.2,0,0.0091,0.1455,0.7823,0.0546,0.0273,0.141,0.4184,0.1274,18.3753,25.7,<2.5
Rwanda,0,16.2909,4.8545,0.1636,0.6364,48.8363,3.7818,0,25.4363,1.0364,0,0.0182,0.2364,3.6545,2.6909,0.0545,2.1636,0.0545,0.0182,15.5091,4.8,36.8
Saint Kitts and Nevis,0,38.656,2.0602,0.56,0.7296,26.1868,3.7916,0,28.0158,4.737,0,0.1439,0.1233,2.9028,0.1541,0.2055,0.0462,0.1798,0.5189,19.0043,23.1,NA
Saint Lucia,0,56.2232,1.6712,0.5249,1.5867,17.1765,4.3137,0,18.5038,3.813,0,0.1629,0.2353,2.4012,0.181,0.4163,0.0965,0.9894,0.5551,9.6531,19.8,NA
Saint Vincent and the Grenadines,0,41.9943,4.3274,0.7589,0.715,26.535,4.2521,0,21.4173,1.085,0,0.2258,0.1254,0.6773,0.2759,1.2919,0.1756,1.7184,0.4516,15.3904,23.8,5.7
Samoa,0,34.9224,1.5771,0.2227,1.8968,28.9912,1.4693,0,30.9205,4.778,0.0036,0.0683,0.0683,16.8666,0,0.115,0.3341,0.291,0.0611,8.3345,45.5,2.7
Sao Tome and Principe,0,11.5093,2.9864,0.1074,1.4361,43.9367,0.9731,0,39.051,0.6241,0,0.0537,0.0134,20.7704,0.1342,0.0336,0.1544,0.0738,0.0268,17.1666,10.6,7
