Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Obesity,Undernourished
Afghanistan,0,27.7641,8.0353,0.6859,0.0327,29.1523,8.2803,0,26.0492,6.2224,0,0.0163,0.3103,1.0452,0.196,0.2776,0.049,0.098,0.7513,17.0831,4.5,29.8
Albania,0,40.743,2.6734,1.6448,0.1445,19.2919,17.7576,0,17.7449,3.4172,0,0.017,0.2933,3.1622,0.1148,0,0.051,0.527,0.9181,9.2443,22.3,6.2
Algeria,0,18.3136,4.2035,1.2171,0.2008,36.6774,8.0934,0,31.2943,0.8972,0,0.0439,0.1067,1.1983,0.2698,0.1568,0.1129,0.2886,0.8595,27.3606,26.6,3.9
Angola,0,26.3309,6.5545,0.1539,1.4155,35.1729,1.2309,0,29.1416,1.313,0,0.0308,0.1539,3.9902,0.3282,0.0103,0.7078,0.1128,0.0308,22.4638,6.8,25
Antigua and Barbuda,0,42.0235,3.2153,0.3872,1.5263,23.7641,6.6607,0,22.4228,4.6686,0,0.0898,0.1347,1.3579,0.0673,0.3591,0.0449,1.0549,0.202,14.4436,19.1,NA
Argentina,0,49.6265,1.3316,1.5706,0.1664,20.0418,5.8512,0,21.4118,3.3076,0,0,0.1878,0.064,0.0213,0.0213,0.111,0.2475,0.1366,17.3147,28.5,4.6
Armenia,0,40.4807,2.5068,1.6196,0.2218,21.7569,10.4709,0,22.9431,6.2619,0,0.0361,0.2734,0.6602,0.0774,0.0103,0.0567,1.8002,0.9542,12.8127,20.9,4.3
Australia,0,35.7101,0.9908,0.7017,0.4515,26.5073,6.5196,0,29.119,4.603,0,0.052,0.2339,1.2929,0.026,0.1007,0.0422,0.7926,1.6145,20.3612,30.4,<2.5
Austria,0,35.9367,1.2297,1.2147,0.4259,22.605,5.1497,0,33.4384,12.8517,0,0,0.075,1.1367,0.012,0.102,0.045,0.4439,0.8398,17.9323,21.9,<2.5
Azerbaijan,0,44.1191,5.4481,2.0197,0.2122,19.1276,9.9202,0,19.1532,7.7987,0,0.017,0.1612,0.1867,0.0255,0.017,0.1697,1.3663,2.2573,7.1538,19.9,<2.5
Bahamas,0,47.72,3.6327,1.2829,1.4991,21.071,5.1318,0,19.6624,4.56,0,0.3556,0.258,2.6077,0.0209,0.2719,0.0349,0.9343,0.4532,10.1659,32.1,NA
Bangladesh,0,11.6772,6.9946,1.2664,2.1646,40.8923,3.2249,0.0147,33.7653,1.2369,0,0.0147,0.1178,0.6332,0.5448,1.0602,0.2209,0.0295,0.2651,29.6422,3.4,14.7
Barbados,0,38.9833,2.1187,1.213,1.806,24.8746,5.6176,0,25.3868,3.9733,0,0.3235,0.097,3.2616,0.2318,0.3181,0.1078,0.6038,0.7817,15.6882,24.8,3.9
