Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Miscellaneous,Obesity,Undernourished
Kazakhstan,0.2369,41.4255,14.0383,1.3317,0.658,23.892,12.8645,0,5.5533,0.2053,0,1.4107,0.4264,0.1579,0.0316,2.3739,0.4422,0.3211,0.0316,0.1526,21.3,<2.5
Kenya,0.1724,17.8272,24.2979,0.312,0.9115,39.013,5.4114,0,12.0547,0.0411,0,0.7719,0.4434,8.0145,0.0411,2.0939,0.4681,0.1314,0.0411,0.0082,6,29.4
Kiribati,0.0338,32.6096,15.368,0.4058,16.1052,27.32,0.602,0,7.5553,0.0473,0,0.1488,4.1328,0.0203,0.0203,2.6583,0.0676,0.3179,0,0.142,45.6,2.7
Korea North,0.0287,15.1822,23.907,1.3872,2.9561,45.1736,0.3348,0,11.0303,0,0,0.3061,1.8464,6.2757,0,2.4873,0.0287,0.0574,0,0.0287,7.1,47.8
Korea South,1.0359,36.7553,14.4764,1.6698,8.3539,29.4733,1.644,0.0618,6.5295,0.1804,1.0719,0.9843,2.9221,0.3504,0.0618,0.3556,0.2268,0.3762,0,0,4.9,<2.5
Kuwait,0,35.968,17.5357,2.6897,1.6178,29.8672,6.6516,0,5.6698,0.025,0,0.556,0.4758,1.8382,0.4057,0.9416,0.6211,0.4107,0.005,0.3907,37,2.8
Kyrgyzstan,0.0469,26.9686,21.0511,0.7441,0.1992,33.1557,11.3136,0,6.5209,0.0996,0,1.1425,0.041,1.992,0.0586,2.408,0.3515,0.3222,0.0059,0.0996,15.4,7.1
Lao People's Democratic Republic,0.0541,18.0698,25.5153,0.3365,4.531,44.3302,0.2644,0.0541,6.8445,0.1082,0,0.8473,1.8629,0.9555,0.4086,0.5408,1.941,0.012,0.006,0.1622,4.5,16.5
Latvia,0.6062,39.3147,14.2299,1.8802,3.9608,23.6822,10.449,0.0051,5.8717,0.7346,0,0.8168,0.3493,0.0205,0.036,2.7689,0.6627,0.3134,0.0257,0.1438,25.7,<2.5
Lebanon,0.0517,21.9612,23.269,0.4581,1.6922,39.2078,5.4607,0,7.8993,0.0443,0,0.3769,1.2636,2.8671,0.0961,0.9754,0.7389,1.2414,0.0148,0.2808,31.3,11
