Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Miscellaneous,Obesity,Undernourished
United Republic of Tanzania,0.5436,10.797,19.244,0.0836,1.8567,45.0364,2.877,0.0084,19.5534,0.0084,0,0,2.9355,12.3693,0.0753,3.9977,0.0585,0.092,0,0.0167,7.1,30.7
United States of America,0.2946,50.565,10.4594,2.0048,2.3873,19.5163,9.8791,0.0747,4.8186,0.0264,0.0044,0.0879,1.2706,1.0332,0.1231,1.064,0.6331,0.4924,0.0835,0,37.3,<2.5
Uruguay,0.1599,38.4875,16.4397,1.9187,1.5693,25.1925,10.9203,0.0059,5.3062,0.0178,0,0.5152,0.6455,1.06,0.0415,1.0897,1.6878,0.0533,0.0296,0.1658,28.9,<2.5
Uzbekistan,0.0588,27.2198,23.3709,1.0317,0.3582,34.7464,10.5736,0,2.6407,0.0374,0,0.8286,0.1336,0.0107,0.016,1.2509,0.1604,0.1657,0.0053,0.0321,15.3,6.3
Vanuatu,0.0078,29.7246,14.6387,0.6119,6.8016,32.8626,1.6082,0,13.7444,0.0863,0,0.91,6.6761,0.0078,0.1177,5.7347,0.0863,0.0157,0.0078,0.102,23.5,7.2
Venezuela (Bolivarian Republic of),0.1955,34.3758,21.6526,0.8707,2.6477,29.5336,6.3083,0.0178,4.398,0.1244,0,0.7641,0.0444,1.9369,0,1.1195,0.3287,0,0.0533,0.0267,25.2,21.2
Vietnam,0.1555,31.4892,18.5247,0.7665,5.7435,33.9998,1.0887,0.0223,8.2098,0.1555,0.0056,1.6442,3.7994,0.9387,0.5221,0.2333,0.5444,0.3277,0,0.0389,2.1,9.3
Yemen,0,15.9575,35.1179,0.432,0.9392,41.0163,1.963,0,4.574,0.0188,0,0.7232,0.2254,2.9398,0.0657,0.2066,0.3193,0.0188,0,0.0564,14.1,38.9
Zambia,0.4824,14.2083,28.5182,0.5839,3.0126,41.0087,1.0324,0,11.1533,0.0338,0,0.9139,8.0562,0.6431,0.0846,1.2863,0.0762,0,0,0.0592,6.5,46.7
Zimbabwe,0.2929,18.0025,33.1934,0.5077,1.0837,39.5099,2.4114,0,4.9986,0.0391,0,0.6541,1.523,1.6987,0.0488,0.5467,0.2636,0.1367,0.0293,0.0586,12.3,51.3
