Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Obesity,Undernourished
Poland,2.8507,20.9616,16.0545,0.3687,0.5106,37.6684,3.2194,6.2544,12.1118,4.1413,0,0,0.0142,0.2127,0.2695,0.0425,2.6521,0.0851,0.1702,4.5242,25.6,<2.5
Portugal,3.065,21.355,13.9072,0.4726,1.3606,38.3271,3.8098,3.6236,14.0791,3.6379,0,0.043,0.1862,0.1862,0.4583,0.043,1.7617,0.7161,0.401,6.6457,23.2,<2.5
Republic of Moldova,2.0672,15.9532,21.3823,0.6264,0.4803,40.0083,5.5753,4.6356,9.2712,1.7958,0,0.167,0.167,0.0835,0.1462,0.0209,1.754,0.3132,0.0418,4.7818,20.1,NA
Romania,2.1141,16.9268,17.849,0.7946,0.1703,40.4511,6.101,4.0153,11.5777,2.1708,0,0.1135,0.1419,0.2128,0.2838,0.3263,2.5965,0.3831,0.2554,5.0936,24.5,<2.5
Russian Federation,2.0381,17.599,16.7361,0.9075,0.6992,39.5269,4.0167,6.8432,11.6335,2.1273,0,0.0298,0.1785,0.2827,0.357,0.0298,3.0646,0.2083,0.0446,5.3109,25.7,<2.5
Rwanda,0.858,3.2964,9.4378,0.0226,0.3161,56.9203,0.8806,1.4224,26.8459,0.1129,0,0.0226,0.0903,0.7902,7.5638,0.0452,16.5049,0.0226,0,1.6934,4.8,36.8
Saint Kitts and Nevis,1.6696,21.8644,13.3969,0.318,0.9541,38.4814,3.5778,6.778,12.9597,1.6498,0,0.5367,0.1988,1.2324,1.0733,0.1789,1.2522,0.0994,0.2186,6.5196,23.1,NA
Saint Lucia,2.5564,23.5715,15.3571,0.2444,1.2218,38.1579,2.9323,7.4436,8.515,1.0526,0,0.4323,0.2632,0.8647,1.109,0.3383,1.2406,0.3571,0.188,2.6692,19.8,NA
Saint Vincent and the Grenadines,1.8243,16.8074,17.0777,0.2872,0.5574,44.2568,2.3986,7.027,9.7635,0.2703,0,0.5068,0.1182,0.2534,1.3345,0.5912,2.348,0.5405,0.1351,3.6655,23.8,5.7
Samoa,0.521,21.4286,9.6134,0.1513,1.7479,40.7563,1.4286,4.1849,20.168,2,0.0336,0.2857,0.1176,9.0924,0,0.1345,4.7395,0.2857,0.0336,3.4454,45.5,2.7
Sao Tome and Principe,0.7034,5.2752,18.5974,0.0414,1.1585,55.482,0.6206,3.2685,14.8532,0.1862,0,0.1448,0.0207,6.6198,0.7447,0.0621,2.379,0.0207,0,4.6752,10.6,7
Saudi Arabia,0,10.939,23.4585,0.4069,0.3286,46.4475,2.6448,4.6479,11.1267,0.7825,0,0.2973,0.0782,0.2347,0.7825,0.4069,0.5321,0.5008,0.266,7.2457,35,7.1
Senegal,0.0766,4.0199,30.5896,0.1149,0.5934,48.8514,0.4786,3.2351,12.0405,0.1914,0,0.0191,0.0957,1.2825,0.7466,0.1149,1.1485,0.0957,0.1149,8.2312,7.4,11.3
Serbia,2.5678,19.4365,20.0428,0.6419,0.2318,40.1748,4.6541,5.2247,7.0257,1.1056,0,0.0178,0.214,0.3923,0.4458,0.0535,1.2482,0.5884,0.2853,2.6748,23.5,5.7
Sierra Leone,0.1021,3.2864,27.5362,0.1021,0.8777,48.9283,0.8777,1.0206,17.2688,0.0408,0,0.0816,0.0612,1.2656,1.7759,0.1225,7.0831,0.0408,0.2041,6.5932,7.5,25.6
Slovakia,2.835,20.9101,10.6717,0.9029,0.325,35.5543,2.9614,4.1712,21.6686,7.8007,0,0.0722,0.1806,0.5237,0.2347,0.0903,1.6974,0.5959,0.2709,10.2022,22.4,3.4
Slovenia,2.2372,18.2103,18.0069,0.6101,0.3442,40.1596,4.3492,3.4731,12.6095,3.5357,0,0.2034,0.1564,0.3755,0.2972,0.1408,1.5019,1.1264,0.6414,4.6308,22.5,<2.5
Solomon Islands,0.2697,5.7872,16.7393,0.083,1.3483,47.1686,0.3941,1.7424,26.4677,0.6638,0,0.1867,0.0415,4.2315,1.8876,0.083,16.8845,0.2282,0.0622,2.1987,20.5,8.9
South Africa,2.2875,12.7568,25.9977,0.4341,0.1837,43.4964,1.3692,5.6938,7.781,0.2171,0,0,0.2839,0.4508,0.2672,0.0835,1.0519,0.1169,0.0334,5.2763,27,6.2
Spain,2.4163,19.1466,11.9896,0.8105,1.2999,40.1437,3.9456,4.8173,15.4306,1.0093,0,0,0.1376,0.5353,0.7035,0.0153,1.5905,0.3517,0.7035,10.3839,27.1,<2.5
Sri Lanka,0.2105,4.3819,26.9805,0.3253,1.1864,48.7562,1.5308,5.377,11.2514,0.0574,0,0.0191,0.0574,5.7788,1.7604,0.8611,1.3203,0.0957,0.1722,1.129,5.4,9
Sudan,0,10.4603,22.8319,0.1028,0.0411,45.7254,4.7267,6.4529,9.659,0.4316,0,0.0206,0.185,1.2125,2.0756,0.0822,0.8837,0.0617,0,4.7061,7.4,20.1
Suriname,1.4479,10.0427,20.8094,0.4084,0.594,47.4661,1.1138,7.6481,10.4696,0.2042,0,0.4084,0.0371,1.0581,0.3527,0.0371,1.188,0.3156,0.0557,6.8127,26.5,8.5
Sweden,2.2981,21.7391,13.7733,0.823,0.9161,36.1491,5.7609,5.264,13.2762,3.7422,0,0.1863,0.0155,0.4658,0.2484,0.1242,1.5373,0.3261,0.4503,6.1801,22.1,<2.5
Switzerland,2.3293,21.7257,11.7492,0.586,0.4395,37.4011,5.7867,7.8963,12.086,2.4172,0,0,0.1172,0.2783,0.249,0.0879,1.0841,0.2051,0.9522,6.695,21.2,<2.5
Taiwan*,1.2767,17.9406,15.4208,0.9071,0.7559,42.9699,1.1423,4.9219,14.665,1.0415,0,0.084,0.1008,1.915,0.42,0.2016,0.4536,0.2688,0.7055,9.4742,NA,3.5
Tajikistan,0.1427,7.5607,27.4132,0.214,0.0238,49.7147,2.3776,3.8992,8.6544,0,0,0.0951,0.1664,0.4042,0.5944,0.0476,1.379,0.3566,0.1189,5.4922,12.6,NA
Thailand,2.1401,9.48,23.1871,0.902,1.1496,46.0206,0.849,7.729,8.5425,0.336,0,0.0177,0.0707,1.3265,0.4245,1.0612,1.0612,0.0707,0.1061,4.0679,10.8,7.8
Timor-Leste,0.1169,9.0463,32.7256,0.0701,0.374,46.0262,0.1169,2.5245,8.9996,0.3974,0,0.187,0.0701,0.9818,1.5428,0.0701,2.4778,0.3039,0,2.9687,2.9,24.9
Togo,0.2882,3.1495,23.2812,0.0618,0.3911,48.559,0.3088,2.8201,21.1404,0.1029,0,0.1647,0.0412,0.8234,3.0259,0.1029,10.5599,0.0618,0,6.2577,7.1,16.1
Trinidad and Tobago,0.8874,14.6261,18.4224,0.2629,0.7067,41.9392,2.9088,9.1537,11.0929,1.3969,0,0.378,0.0986,1.0682,1.4297,0.378,1.1997,0.1808,0.1972,4.7658,19.7,5.5
Tunisia,0.2452,7.486,23.9579,0.3894,0.3462,48.536,2.6107,5.0483,11.3803,0.6779,0,0.0288,0.0721,0.5193,1.0097,0.2452,0.8654,0.1587,0.7356,7.0676,27.3,4.3
Turkey,0.3107,9.7317,19.2938,0.4237,0.1271,46.8643,3.9266,4.3644,14.9576,0.9322,0,0.0282,0.0706,0.6921,1.7232,0.2966,1.2853,0.0989,1.0734,8.7571,32.2,<2.5
Turkmenistan,0.2263,19.5682,27.4025,0.4701,0.1045,39.7109,4.335,1.3057,6.8765,1.7409,0,0.087,0.0522,0.1393,0.2263,0,1.0097,0.4178,0.0696,3.1337,17.5,5.4
Uganda,1.7949,5.338,13.8462,0.0699,0.4895,53.31,1.5152,2.6573,20.979,0.1865,0,0.0233,0.0932,1.7016,5.5711,0.0233,8.7413,0.0233,0,4.6154,4.1,41
Ukraine,1.5319,13.2598,20.0791,0.9059,0.3459,43.0736,3.8379,6.7699,10.196,1.2848,0,0.0165,0.1153,0.0329,0.2965,0.0329,3.9697,0.1812,0.2141,4.0521,26.1,3.5
United Arab Emirates,0,12.5353,20.9268,0.4307,0.6089,45.1657,3.0744,5.4953,11.7629,0.9505,0,0.2376,0.1188,0.9505,3.7576,0.5941,0.3862,0.104,1.1585,3.5051,29.9,2.6
United Kingdom,2.217,20.7847,13.4189,0.6272,0.5251,38.769,4.8425,5.3092,13.5065,1.5607,0,0.2917,0.1021,0.5543,0.5105,0.1604,2.5817,0.7585,0.3209,6.6657,29.5,<2.5
United Republic of Tanzania,1.0643,3.6519,20.409,0.0209,0.2922,50.4174,1.1895,2.4207,20.5342,0.313,0,0,0,2.2329,4.8831,0.0626,7.5751,0.0209,0.0835,5.3631,7.1,30.7
United States of America,2.1373,19.7266,10.7792,0.7832,0.4779,39.0813,4.925,8.0048,14.0846,1.3009,0,0,0.0133,0.9027,0.4646,0.1062,1.2478,0.292,0.4779,9.2792,37.3,<2.5
Uruguay,1.3481,17.3989,17.732,0.6661,0.2855,40.0635,4.8374,7.3751,10.2933,1.0785,0,0.1427,0.0952,0.5868,0.4282,0.0317,1.586,0.4758,0.0476,5.8208,28.9,<2.5
Uzbekistan,0.6785,14.314,24.8221,0.4137,0.0662,44.6632,6.007,1.7045,7.3308,0.6123,0,0.0331,0.1655,0.0993,0,0.0165,1.6217,0.0662,0.2151,4.5011,15.3,6.3
Vanuatu,0.2668,11.8354,16.1044,0.1906,1.2197,45.4355,0.8767,2.4204,21.6505,0.667,0,0.0762,0.1334,10.4822,0,0.0953,7.9093,0.1144,0.0191,2.1536,23.5,7.2
Venezuela (Bolivarian Republic of),0.8454,10.3671,21.3126,0.2892,0.4449,45.8064,2.6474,7.7864,10.5005,0.6007,0,0.0222,0.1335,0.0445,0.7341,0,1.3571,0.0667,0,7.5417,25.2,21.2
Vietnam,0.715,18.8117,26.9833,0.2894,1.0385,42.7988,0.5618,2.2472,6.5542,0.9363,0,0.034,0.3064,1.8897,0.4597,0.4256,0.715,0.1021,0.3575,1.3279,2.1,9.3
Yemen,0,5.4788,32.0727,0.1455,0.1697,48.097,0.6545,7.0303,6.3515,0.3394,0,0.0485,0.1212,0.1697,1.2121,0.0485,0.3152,0.1212,0.0242,3.9515,14.1,38.9
Zambia,1.1925,4.8198,31.5528,0.1988,0.5714,47.3789,0.5217,2.559,11.2049,0.323,0,0.0497,0.1491,3.1801,0.2981,0.0745,4.0994,0.0248,0,3.0062,6.5,46.7
Zimbabwe,1.4269,5.6847,29.8044,0.1381,0.1611,46.7664,1.0817,5.0403,9.8963,0.6904,0,0.046,0.0921,0.6904,0.6214,0.046,1.2888,0.046,0.1151,6.2601,12.3,51.3
